pitcher_id,pitcher,n,intent_share,actual_share,designed_share,accidental_share,conversion,acc_given_actual
641927,Bailey Ober,887.0,0.45659526493799324,0.52423900789177,0.2807215332581736,0.24351747463359638,0.6148148148148148,0.4645161290322581
642152,Lou Trivino III,412.0,0.5072815533980582,0.41262135922330095,0.22572815533980584,0.18689320388349515,0.4449760765550239,0.45294117647058824
642207,Devin Williams,411.0,0.9610705596107056,0.6520681265206812,0.6228710462287105,0.029197080291970802,0.6481012658227848,0.04477611940298507
642232,Ryan Yarbrough,479.0,0.2776617954070981,0.325678496868476,0.12108559498956159,0.2045929018789144,0.43609022556390975,0.6282051282051282
642547,Freddy Peralta,1086.0,0.4539594843462247,0.39042357274401474,0.23572744014732966,0.15469613259668508,0.5192697768762677,0.39622641509433965
642701,Dennis Santana,435.0,0.45057471264367815,0.3057471264367816,0.19310344827586207,0.11264367816091954,0.42857142857142855,0.3684210526315789
643377,Griffin Jax,444.0,0.5315315315315315,0.47297297297297297,0.30405405405405406,0.16891891891891891,0.5720338983050848,0.35714285714285715
645261,Sandy Alcantara,1387.0,0.35255948089401584,0.35039653929343906,0.1795241528478731,0.17087238644556596,0.50920245398773,0.4876543209876543
647336,Michael Soroka,620.0,0.3758064516129032,0.47096774193548385,0.22741935483870968,0.2435483870967742,0.6051502145922747,0.5171232876712328
650633,Michael King,593.0,0.20067453625632378,0.2748735244519393,0.12141652613827993,0.15345699831365936,0.6050420168067226,0.558282208588957
650644,Aaron Civale,1007.0,0.28897715988083417,0.36941410129096325,0.16385302879841113,0.20556107249255212,0.5670103092783505,0.5564516129032258
650911,Cristopher Sánchez,1078.0,0.3877551020408163,0.2699443413729128,0.12987012987012986,0.14007421150278293,0.3349282296650718,0.5189003436426117
656302,Dylan Cease,1120.0,0.4589285714285714,0.35625,0.20089285714285715,0.15535714285714286,0.4377431906614786,0.43609022556390975
656427,Jack Flaherty,1420.0,0.4584507042253521,0.4591549295774648,0.26549295774647885,0.1936619718309859,0.5791090629800307,0.4217791411042945
