pitcher_id,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
663562,0.600154,0.4688072,1.0050502,1.0476226,45,0.6788332,-0.078679204,0.63600004,-0.16719285,1.0619735,-0.05692327,1.2237102,-0.17608762,game_type,0.8012203,0.70572,0.9500798,1.2584537,71,0.7847344,0.01648587,0.6307823,0.0749377,0.98164797,-0.03156817,1.2119452,0.04650855,game_type
663568,0.7119888,0.6048561,1.2541591,1.2111993,377,0.6853501,0.026638687,0.59407413,0.010781944,1.2554923,-0.0013332367,1.1912167,0.019982576,game_type,0.660245,0.60850245,1.1278905,1.2259989,439,0.6184398,0.041805208,0.601622,0.006880462,1.1353661,-0.0074756145,1.2208381,0.0051608086,game_type
663574,0.8476403,0.63072693,1.1905421,1.2992712,369,0.8679406,-0.020300329,0.6214772,0.009249747,1.2556181,-0.06507599,1.2429165,0.05635476,game_type,0.87866306,0.6393267,1.3450089,1.3170406,374,0.8994359,-0.020772815,0.5837385,0.055588186,1.3847015,-0.03969264,1.2426902,0.07435036,game_type
663623,0.45906153,0.5908006,0.87586325,1.1627078,823,0.4780289,-0.01896736,0.5578472,0.03295338,0.9044761,-0.028612852,1.1036191,0.059088707,game_type,0.47424993,0.5300831,0.877292,1.0954906,980,0.49992234,-0.025672406,0.5118357,0.018247426,0.9381703,-0.060878336,1.0585706,0.03691995,game_type
663671,0.78547287,0.67685634,1.2629504,1.3618883,130,0.7563335,0.0291394,0.6677997,0.009056628,1.2763262,-0.013375759,1.373175,-0.011286736,game_type,0.79906905,0.72269493,1.2873384,1.3713633,177,0.7919992,0.007069826,0.6281162,0.09457874,1.3356447,-0.048306346,1.2932429,0.07812035,game_type
663687,0.54426587,0.5797527,0.8577526,1.0866683,267,0.52881205,0.015453815,0.56247735,0.017275333,0.87558067,-0.017828047,1.0354811,0.051187158,game_type,0.4557229,0.53346926,0.7913182,0.9916372,341,0.45297894,0.0027439594,0.5219692,0.011500061,0.8146419,-0.023323715,0.99138826,0.000248909,game_type
663738,0.6536951,0.54897463,1.1186614,1.1767248,299,0.7072353,-0.05354017,0.5410269,0.007947743,1.1762029,-0.05754149,1.144254,0.032470822,game_type,0.65547764,0.585738,1.0525167,1.2561731,221,0.64664423,0.008833408,0.5998811,-0.014143109,1.0728288,-0.02031207,1.22034,0.03583312,game_type
663765,0.7980334,0.69067365,1.3595121,1.3697562,111,0.81537086,-0.017337441,0.64677954,0.043894112,1.4619608,-0.1024487,1.3260857,0.043670535,game_type,0.7421085,0.6945395,1.3013742,1.3725106,223,0.7327218,0.009386718,0.6831553,0.011384189,1.2993404,0.0020338297,1.3130479,0.059462667,game_type
663767,0.6450609,0.63068324,0.86471623,1.1965284,205,0.66201055,-0.016949654,0.6208149,0.009868324,0.8970846,-0.032368362,1.1531949,0.04333353,game_type,0.65007013,0.50918716,0.90783453,1.0202966,159,0.6264795,0.023590624,0.51218146,-0.002994299,0.89339566,0.014438868,1.0522869,-0.03199029,game_type
663773,0.65087175,0.56507844,1.3545779,1.213077,31,0.66808015,-0.017208397,0.54200166,0.023076773,1.3439643,0.010613561,1.2210269,-0.007949948,game_type,0.7548127,0.67434895,1.4846228,1.2066514,27,0.7905452,-0.035732508,0.58377546,0.09057349,1.5837101,-0.09908724,1.2783375,-0.07168603,game_type
663795,0.9311342,0.70025057,1.6696216,1.2622498,90,0.9831623,-0.05202806,0.6098729,0.09037769,1.6816837,-0.012062073,1.2016796,0.06057024,game_type,0.9851699,0.71922344,1.5521356,1.4826005,122,0.9272878,0.05788207,0.7010262,0.018197238,1.5285974,0.023538232,1.391499,0.09110141,game_type
663804,0.9278083,0.6802354,1.5095931,1.488195,58,0.91780835,0.009999931,0.65193695,0.028298438,1.5185995,-0.009006381,1.3444262,0.14376879,game_type,1.057348,0.69246775,1.6481309,1.3693978,77,1.001259,0.056089044,0.70311105,-0.010643303,1.6996609,-0.051530004,1.3819255,-0.012527704,game_type
663855,0.8202717,0.58756906,1.279361,1.2196041,145,0.84863114,-0.028359473,0.6446977,-0.057128668,1.2702475,0.00911355,1.2562952,-0.03669107,game_type,0.6105982,0.55027765,0.9721326,1.1303288,435,0.6456842,-0.035085976,0.5769076,-0.026629925,1.0396681,-0.06753546,1.1655629,-0.035234094,game_type
663878,0.7052064,0.62372166,0.98440397,1.243596,80,0.7554528,-0.050246418,0.60870373,0.015017927,1.0434703,-0.059066296,1.3374887,-0.09389269,game_type,0.9306884,0.503761,1.221301,1.1864232,68,0.89491457,0.035773814,0.59127516,-0.08751416,1.1463794,0.07492161,1.167288,0.019135237,game_type
