pair_type,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
FF>SV,0.93119854,0.6975224,0.9199473,1.1566715,266,0.84211546,0.089083076,0.69863874,-0.0011163354,0.85489726,0.065050066,1.1159345,0.040737033,game_type,0.6402966,0.57373357,0.6164019,0.9201786,318,0.68291986,-0.04262328,0.55624247,0.017491102,0.64975554,-0.033353627,0.8673513,0.0528273,game_type
FS>CH,0.419335,0.4748247,0.79753804,1.0955324,12,0.36548787,0.053847134,0.55830854,-0.083483845,0.72044784,0.077090204,1.0788862,0.016646266,game_type,0.41433364,0.5152119,0.7579948,1.1478542,20,0.3541306,0.060203046,0.44170135,0.07351053,0.67105365,0.08694112,1.0736861,0.074168086,game_type
FS>CU,-0.21644874,0.38915813,-0.046231154,0.81271,268,-0.17767966,-0.03876908,0.36862975,0.020528376,-0.004056439,-0.042174716,0.7901761,0.022533894,game_type,-0.26717567,0.4482398,-0.124864675,0.8719265,299,-0.2630621,-0.0041135848,0.3570021,0.091237694,-0.10739372,-0.017470956,0.77939516,0.09253132,game_type
FS>FC,0.8922236,0.72572434,1.5615945,1.4570342,303,0.8849419,0.0072817206,0.6862439,0.039480448,1.5261494,0.035445094,1.3612556,0.095778584,game_type,0.7825806,0.65216494,1.416832,1.315456,379,0.7744915,0.008089125,0.66963875,-0.017473817,1.4353261,-0.01849413,1.3367662,-0.02131021,game_type
FS>FF,1.094705,0.73871756,1.8064865,1.4611534,2197,1.0793165,0.015388489,0.71432745,0.024390101,1.7635216,0.042964935,1.40309,0.058063388,game_type,1.080304,0.7343665,1.787725,1.4514579,2144,1.0636011,0.01670289,0.7224665,0.011899948,1.7342795,0.05344546,1.4058284,0.0456295,game_type
FS>FS,0.51858634,0.53965646,1.0899215,1.2317275,2436,0.5353113,-0.016724944,0.53695375,0.002702713,1.1620514,-0.072129965,1.2086592,0.023068309,game_type,0.5246312,0.5395825,1.1130255,1.2211916,2597,0.53697723,-0.012346029,0.53691095,0.0026715398,1.1702374,-0.057211876,1.2137793,0.0074123144,game_type
FS>KC,0.61633503,0.7263951,0.6939215,1.3614016,44,0.5542145,0.062120557,0.65230864,0.07408643,0.6774121,0.016509414,1.2797502,0.08165133,game_type,0.47849908,0.62911105,0.5720119,1.234832,58,0.4728919,0.0056071877,0.6584452,-0.029334128,0.58403754,-0.012025654,1.207724,0.027108073,game_type
FS>SI,0.8899117,0.62698096,1.3132216,1.2648891,428,0.87342054,0.016491175,0.6433776,-0.016396642,1.3306481,-0.01742649,1.2946146,-0.029725432,game_type,0.92412895,0.66602075,1.4696335,1.3430108,405,0.8955467,0.028582275,0.64628464,0.019736111,1.4130428,0.056590676,1.3201284,0.022882342,game_type
FS>SL,0.9201666,0.6468825,1.3609967,1.2897955,475,0.8138334,0.106333196,0.6427012,0.004181266,1.2383724,0.12262428,1.2706409,0.019154668,game_type,0.8876754,0.63864815,1.3034346,1.3216332,442,0.8755452,0.012130201,0.6275476,0.011100531,1.2532083,0.05022633,1.2659074,0.055725813,game_type
FS>ST,0.50014013,0.6187315,0.7159644,1.1369809,140,0.545328,-0.04518789,0.5828886,0.035842896,0.74546736,-0.029502988,1.0300633,0.10691762,game_type,0.61208564,0.6593227,0.82778037,1.1737856,226,0.5315083,0.080577314,0.5865392,0.07278347,0.7602884,0.06749195,1.1109313,0.06285429,game_type
FS>SV,1.1441814,1.3286194,1.3886126,1.5994786,10,0.72995263,0.41422874,0.4418342,0.88678515,0.7127373,0.6758753,0.7808563,0.8186223,game_type,0.7145538,0.91528803,0.61375475,1.489007,29,0.6048242,0.10972959,0.6481554,0.26713264,0.56307775,0.050677,1.1699557,0.31905127,game_type
KC>CH,-0.13021497,0.39658132,-0.0028363497,0.8499078,277,-0.013897546,-0.11631743,0.43140504,-0.034823716,0.08916606,-0.09200241,0.87636095,-0.026453137,game_type,-0.088079,0.43090737,-0.0012477306,0.8267577,365,-0.04253713,-0.045541868,0.3989523,0.031955063,0.06445189,-0.06569962,0.8039615,0.022796214,game_type
KC>FC,1.0146568,0.69668686,1.2426983,1.2807298,189,0.9228068,0.09184998,0.66909844,0.027588427,1.2463421,-0.0036437511,1.18255,0.09817982,game_type,0.91405857,0.65116686,1.1735504,1.1958996,152,0.9041345,0.009924054,0.63976824,0.011398613,1.1257033,0.047847033,1.1438615,0.052038074,game_type
KC>FF,1.0716654,0.70769435,1.1257247,1.2153108,1378,1.0080132,0.06365216,0.68939346,0.01830089,1.0653944,0.06033027,1.1818419,0.03346896,game_type,1.0768912,0.71324915,1.0974509,1.2157141,1353,0.99284726,0.08404392,0.6733085,0.039940655,1.019064,0.0783869,1.1374762,0.07823789,game_type
KC>FS,0.3096415,0.54287827,0.31589794,1.1386405,74,0.28477392,0.024867594,0.501491,0.04138726,0.3737871,-0.057889163,1.0668525,0.07178807,game_type,0.26751086,0.43300286,0.43405676,0.905667,77,0.32556394,-0.058053076,0.4511607,-0.01815784,0.4975442,-0.06348744,0.9392725,-0.033605516,game_type
KC>KC,0.50496197,0.5293969,1.0946611,1.2084266,1136,0.51696336,-0.012001395,0.53158265,-0.002185762,1.1474301,-0.052768946,1.193738,0.014688611,game_type,0.5115641,0.52709615,1.0989101,1.2141831,1184,0.5196582,-0.008094132,0.5323054,-0.005209267,1.1559291,-0.057018995,1.2070447,0.0071383715,game_type
KC>SI,0.6155263,0.53778857,0.6954409,1.0282652,343,0.6553151,-0.039788783,0.5708999,-0.033111334,0.7182997,-0.022858799,1.0267162,0.0015490055,game_type,0.5104601,0.58199203,0.64090925,1.0509197,404,0.60261554,-0.09215546,0.59349513,-0.0115031,0.72175604,-0.08084679,1.105944,-0.055024385,game_type
KC>SL,0.061327383,0.4752153,0.29337293,1.007789,420,0.11077803,-0.049450643,0.50062555,-0.025410265,0.32322776,-0.029854834,1.0093248,-0.0015357733,game_type,0.017168552,0.4432486,0.23235853,0.9143243,363,0.060118727,-0.042950176,0.45972016,-0.016471565,0.28714612,-0.05478759,0.9400894,-0.025765121,game_type
KC>ST,0.77369654,0.53911173,0.8485985,1.0786597,63,0.78710425,-0.013407707,0.6096739,-0.070562184,1.0124552,-0.16385674,1.1553465,-0.07668686,game_type,0.7528969,0.6298706,0.8629179,1.1694574,72,0.66669333,0.086203575,0.6235952,0.0062754154,0.9423289,-0.07941097,1.2262816,-0.056824207,game_type
SI>CH,0.81892645,0.582979,1.3622726,1.2153541,2661,0.7547229,0.06420356,0.57652754,0.0064514875,1.3116596,0.050613046,1.1979523,0.017401814,game_type,0.8430134,0.6092851,1.3928689,1.2596456,2676,0.78261584,0.060397565,0.60045224,0.008832872,1.3431908,0.049678087,1.236778,0.02286756,game_type
SI>CU,0.33732846,0.54507667,0.34630272,0.8548998,1539,0.30018517,0.03714329,0.4753997,0.069676965,0.32409894,0.022203773,0.79807276,0.05682707,game_type,0.30466765,0.513858,0.30104336,0.82330614,1439,0.3195534,-0.014885753,0.47551996,0.038338065,0.31846368,-0.017420322,0.7868267,0.036479414,game_type
SI>FC,0.6806526,0.6125624,1.0415158,1.1966985,2096,0.65925276,0.021399856,0.5733342,0.0392282,1.0713928,-0.029876947,1.1443709,0.052327633,game_type,0.58731705,0.57473016,0.9224979,1.1286671,2272,0.61045796,-0.023140907,0.57156926,0.003160894,0.97785836,-0.055360436,1.1227413,0.0059257746,game_type
SI>FF,0.7352452,0.606147,1.3369268,1.2609531,3979,0.7114374,0.023807824,0.59004104,0.01610595,1.3487918,-0.01186502,1.2302612,0.030691862,game_type,0.72697186,0.607469,1.3330848,1.2669057,3604,0.70451385,0.022458017,0.58804446,0.019424558,1.3325174,0.0005674362,1.234668,0.03223765,game_type
SI>FS,0.9263883,0.63636225,1.3374754,1.272042,591,0.8679293,0.058459044,0.62285775,0.013504505,1.3178673,0.01960814,1.2234141,0.048627973,game_type,0.96138215,0.64721125,1.4465587,1.2749114,517,0.924075,0.037307143,0.6225832,0.024628043,1.4227697,0.023789048,1.2403888,0.034522653,game_type
SI>KC,0.64619404,0.6077996,0.7178915,1.0345118,375,0.6885008,-0.04230678,0.5532109,0.054588675,0.77094424,-0.053052723,1.0086684,0.025843382,game_type,0.7058884,0.6594895,0.7933007,1.1440645,475,0.7224195,-0.01653111,0.57250214,0.086987376,0.82404363,-0.030742943,1.050353,0.093711495,game_type
SI>SI,0.50883645,0.53150856,1.096258,1.2015105,11203,0.5224479,-0.013611436,0.52924734,0.0022612214,1.1556203,-0.059362292,1.1829194,0.018591166,game_type,0.50994194,0.53476137,1.101863,1.2038962,11722,0.5218287,-0.0118867755,0.5316659,0.003095448,1.1546847,-0.052821636,1.1874145,0.016481638,game_type
SI>SL,0.9609184,0.68432647,1.2113723,1.2556255,3384,0.95037794,0.010540485,0.6407662,0.043560266,1.2397566,-0.028384328,1.1908852,0.0647403,game_type,0.97256595,0.6718444,1.1711973,1.2327666,3807,0.93956965,0.032996297,0.62270224,0.049142182,1.1847773,-0.013579965,1.1572577,0.07550895,game_type
SI>ST,0.68812335,0.6111511,0.7044841,1.0076197,2859,0.69012,-0.0019966364,0.5820223,0.02912879,0.71848536,-0.01400125,0.9746009,0.033018827,game_type,0.64238226,0.60136306,0.62353224,0.99526304,3073,0.6567489,-0.014366627,0.58076996,0.020593107,0.64807504,-0.024542809,0.9619565,0.03330654,game_type
SI>SV,0.7550356,0.5414612,0.8553567,0.915453,149,0.7431265,0.011909068,0.60045195,-0.058990717,0.8973994,-0.042042732,1.0155611,-0.10010809,game_type,0.48503855,0.5610748,0.5263406,0.9358783,217,0.5572765,-0.07223794,0.5178191,0.043255687,0.6265135,-0.10017288,0.890137,0.04574126,game_type
SL>CH,0.7135561,0.65738803,0.9865204,1.2549313,1944,0.7300651,-0.016508996,0.6300594,0.02732861,1.0524282,-0.065907836,1.2104834,0.0444479,game_type,0.6810681,0.62504095,0.9691175,1.2150083,2050,0.6973365,-0.016268373,0.6030292,0.022011757,1.0049195,-0.035802007,1.1861149,0.028893352,game_type
SL>CU,0.05848288,0.5014821,0.123642035,0.932497,1079,0.09813679,-0.03965391,0.46708104,0.03440109,0.21598686,-0.09234483,0.8979936,0.0345034,game_type,0.0036825605,0.51450956,0.10845966,0.972047,871,0.038125418,-0.034442857,0.46351677,0.050992787,0.16302587,-0.054566212,0.9055991,0.066447854,game_type
SL>FC,0.91884345,0.66562843,1.3602574,1.3162355,765,0.87939453,0.039448917,0.63191324,0.03371519,1.35135,0.008907437,1.2578511,0.05838442,game_type,0.9171001,0.61716974,1.4484042,1.2930554,722,0.8673355,0.049764574,0.64232063,-0.025150895,1.4085807,0.039823532,1.285253,0.007802367,game_type
SL>FF,1.0169168,0.6960388,1.3167764,1.2885947,8729,1.0039656,0.012951136,0.676875,0.019163787,1.3054918,0.01128459,1.2602514,0.02834332,game_type,1.0176145,0.6898375,1.3184261,1.2898754,9440,1.0039085,0.013705969,0.68014824,0.009689271,1.308007,0.01041913,1.2664442,0.023431182,game_type
SL>FS,0.8060839,0.61743486,1.2004733,1.2288901,582,0.7707373,0.035346627,0.61800677,-0.00057190657,1.1892246,0.011248708,1.2333113,-0.004421234,game_type,0.79128367,0.643689,1.1846927,1.2348557,565,0.79287124,-0.0015875697,0.61182725,0.031861722,1.1993636,-0.014670849,1.2223605,0.01249516,game_type
SL>KC,0.16709419,0.573187,0.33142483,1.1578059,277,0.2152962,-0.048202008,0.482002,0.091185,0.40364784,-0.07222301,0.9910606,0.1667453,game_type,0.36010787,0.5301669,0.5448161,1.0827162,293,0.34449494,0.01561293,0.5237637,0.006403208,0.5843084,-0.03949231,1.0497651,0.032951117,game_type
SL>SI,0.8787509,0.66698307,1.1441253,1.2640663,3480,0.93363905,-0.05488813,0.66873497,-0.0017518997,1.2194002,-0.075274825,1.2539982,0.010068178,game_type,0.9016295,0.68628204,1.116139,1.2588003,3672,0.91671264,-0.015083134,0.67577994,0.0105021,1.1509383,-0.03479922,1.2519902,0.006810069,game_type
SL>SL,0.5142884,0.5298792,1.1163087,1.1930044,10515,0.5230635,-0.008775055,0.5279817,0.0018975139,1.1611784,-0.04486966,1.1829664,0.010038018,game_type,0.5133833,0.5273853,1.1149049,1.1993579,11514,0.5222264,-0.008843064,0.52567154,0.0017137527,1.1591887,-0.044283867,1.1816264,0.017731428,game_type
SL>ST,0.2722499,0.4891228,0.4712136,1.0110862,621,0.27856183,-0.0063119233,0.48220032,0.0069224834,0.5381743,-0.06696066,1.0000927,0.010993481,game_type,0.35902482,0.5475173,0.5510008,1.1203738,644,0.3577854,0.001239419,0.514764,0.03275329,0.6314152,-0.080414414,1.0463762,0.07399762,game_type
SL>SV,0.7552634,0.5731905,1.1281942,1.0239316,22,0.84891856,-0.09365517,0.65529096,-0.08210045,1.3196279,-0.19143367,1.2834473,-0.25951564,game_type,0.65127844,0.53361887,1.1127976,1.0977085,31,0.69192153,-0.040643096,0.5496639,-0.016045034,1.2454664,-0.13266873,1.2417618,-0.14405334,game_type
